Program_Name,Institution,Subject,Selectivity,Cost_Range
Research Science Institute (RSI),MIT,Science/Engineering,Extremely High,Free
Summer Science Program (SSP),Various (NMT/CU Boulder/etc.),Astrophysics/Biochemistry,High,"$8,000 (Need-based aid available)"
Program in Mathematics for Young Scientists (PROMYS),Boston University,Mathematics,High,"$6,000 (Need-based aid available)"
Ross Mathematics Program,Ohio State University,Mathematics,High,"$6,000 (Need-based aid available)"
Stanford University Mathematics Camp (SUMaC),Stanford University,Mathematics,High,"$8,000"
Telluride Association Summer Seminar (TASS),Various (Cornell/UMich/etc.),Humanities/Social Sciences,Extremely High,Free
Yale Young Global Scholars (YYGS),Yale University,Interdisciplinary,Moderate,"$6,500 (Need-based aid available)"
LaunchX,Various (MIT/UPenn/etc.),Entrepreneurship,Moderate,"$6,000 - $9,000"
MITES (formerly Minority Introduction to Engineering and Science),MIT,STEM,High,Free
Governor's School (State-specific),Various State Universities,Varies,High,Free
Iowa Young Writers' Studio,University of Iowa,Creative Writing,High,"$2,500"
Interlochen Arts Camp,Interlochen Center for the Arts,Fine Arts/Music,Moderate,"$6,000 - $10,000"
Blue Lake Fine Arts Camp,Blue Lake,Fine Arts/Music,Low,"$1,500 - $3,000"
Girls Who Code Summer Immersion Program,Various Tech Companies,Computer Science,Moderate,Free
Bank of America Student Leaders,Bank of America,Leadership/Community Service,High,Paid Internship
NSLC (National Student Leadership Conference),Various Universities,Leadership/Varies,Low,"$3,000 - $4,000"
NYU Tisch Summer High School Program,NYU,Drama/Film/Dance,High,"$10,000"
Columbia University Pre-College Programs,Columbia University,Interdisciplinary,Low,"$6,000 - $12,000"
Harvard Pre-College Program,Harvard University,Interdisciplinary,Low,"$5,000 - $6,000"
UChicago Summer Session,University of Chicago,Interdisciplinary,Moderate,"$5,000 - $8,000"
UPenn Wharton Global Youth Program,University of Pennsylvania,Business,Moderate,"$6,000 - $9,000"
Cornell University Pre-College Studies,Cornell University,Interdisciplinary,Low,"$5,000 - $15,000"
Brown University Pre-College Programs,Brown University,Interdisciplinary,Low,"$3,000 - $10,000"
Georgetown Summer Programs for High School Students,Georgetown University,Varies,Low,"$3,000 - $6,000"
Johns Hopkins Center for Talented Youth (CTY),Johns Hopkins University,Varies,Moderate (Requires testing),"$3,000 - $6,000"
Duke University Summer Session,Duke University,Interdisciplinary,Moderate,"$4,000 - $9,000"
Northwestern Center for Talent Development (CTD),Northwestern University,Varies,Moderate,"$3,000 - $6,000"
Smith College Summer Programs for Girls,Smith College,Varies,Moderate,"$4,000 - $5,000"
Carnegie Mellon Pre-College Programs,Carnegie Mellon University,STEM/Arts,Moderate,"$6,000 - $10,000"
Pratt Institute Pre-College Program,Pratt Institute,Art/Design,Moderate,"$5,000"
Rhode Island School of Design (RISD) Pre-College,RISD,Art/Design,High,"$10,000"
Berkeley Summer Sessions for High School Students,UC Berkeley,Interdisciplinary,Moderate,"$5,000 - $8,000"
UCLA Summer Sessions for High School Students,UCLA,Interdisciplinary,Moderate,"$4,000 - $7,000"
