Category,Activity_Name,Description,Leadership_Roles,Skills_Developed
Academic,Debate Club,Competitive speaking and research on various topics.,President; Captain; Treasurer,"Critical Thinking, Public Speaking, Research"
Academic,Robotics Team (FIRST/VEX),Designing; building; and programming robots for competition.,Team Lead; Lead Programmer; Mechanical Lead,"Engineering, Coding, Teamwork"
Academic,Math Olympiad,Advanced mathematical problem-solving competitions.,Team Captain; Tutor,"Advanced Mathematics, Problem Solving"
Academic,Science Bowl,Buzzer-based science knowledge competition.,Captain; Subject Specialist,"Science Knowledge, Quick Thinking"
Arts,Marching Band,Musical performance and synchronized movement.,Drum Major; Section Leader; Librarian,"Musical Proficiency, Discipline, Coordination"
Arts,Theater/Drama,Stage performance and production.,Stage Manager; Lead Actor; Set Designer,"Creative Expression, Project Management"
Arts,Visual Arts/Painting,Creating original artwork for exhibitions.,Exhibition Coordinator; Portfolio Lead,"Creativity, Attention to Detail"
Arts,Choir/Chorus,Vocal music performance.,Section Leader; Accompanist,"Vocal Technique, Collaboration"
Athletics,Varsity Sports (Soccer/Basketball/etc.),Competitive school sports teams.,Team Captain; Co-Captain; Equipment Manager,"Athleticism, Leadership, Resilience"
Athletics,Intramural Sports,Non-varsity recreational sports.,Organizer; Referee,"Organization, Sportsmanship"
Athletics,Martial Arts,Discipline-based physical training.,Assistant Instructor; Black Belt Mentor,"Self-Discipline, Focus"
Community Service,Key Club,International service organization.,President; Service Project Chair,"Civic Engagement, Volunteer Management"
Community Service,Habitat for Humanity,Building homes for those in need.,Site Lead; Fundraising Coordinator,"Manual Labor, Community Impact"
Community Service,Local Food Bank,Sorting and distributing food.,Volunteer Coordinator; Shift Lead,"Logistics, Empathy"
Community Service,Animal Shelter,Caring for rescued animals.,Volunteer Mentor; Event Assistant,"Animal Welfare, Responsibility"
Leadership,Student Government (SGA),School-wide representation and event planning.,President; Vice President; Secretary; Treasurer,"Governance, Event Planning, Advocacy"
Leadership,Model United Nations (MUN),Simulating UN diplomacy and resolution writing.,Secretary-General; Head Delegate,"Diplomacy, Negotiation, International Relations"
Leadership,National Honor Society (NHS),Recognition for scholarship; leadership; and service.,Chapter President; Service Coordinator,"Integrity, Peer Mentoring"
Leadership,Peer Tutoring,Assisting fellow students with academic subjects.,Lead Tutor; Subject Coordinator,"Communication, Patience, Subject Mastery"
Computer Science,Coding Club,Learning and practicing programming languages.,President; Workshop Lead,"Software Development, Mentorship"
Computer Science,Hackathons,Intensive software development marathons.,Team Lead; Project Manager,"Rapid Prototyping, Technical Innovation"
Computer Science,Open Source Contributor,Contributing to public software projects.,Maintainer; Reviewer,"Version Control (Git), Collaboration"
Computer Science,Congressional App Challenge,Creating an app for a congressional district.,Lead Developer,"App Development, Public Presentation"
Computer Science,AI/ML Research,Independent or guided research in AI.,Lead Researcher,"Data Science, Machine Learning, Research"
Internship,Tech Internship,Working at a technology company.,Intern; Project Assistant,"Professionalism, Technical Skills"
Internship,Research Assistantship,Assisting a professor or researcher.,Research Assistant,"Academic Research, Data Analysis"
Internship,Non-Profit Internship,Working for a charitable organization.,Program Assistant,"Administrative Skills, Mission Alignment"
Summer Program,Governor's School,State-sponsored academic summer program.,Participant; Peer Leader,"Advanced Academics, Networking"
Summer Program,Pre-College Program (Harvard/Stanford/etc.),University-based summer courses.,Student Ambassador,"University Life, Subject Exploration"
Summer Program,Summer Research Program (RSI/SIMR/etc.),High-level scientific research.,Researcher,"Scientific Method, Presentation"
Work,Part-Time Job (Retail/Food Service),Employment for income and experience.,Shift Supervisor; Trainer,"Customer Service, Time Management, Financial Literacy"
Work,Tutoring Business,Independent tutoring for profit.,Founder; Lead Tutor,"Entrepreneurship, Marketing"
